_id,Date,Leasee,Name of Event,Place,Type,Revenue,Attendance
264,2016,Innovation Arts and Entertainment,Blue Man Group,Thalia Mara,Concert,8461.0000,2069
265,2016,City of Jackson,David Banner God Box Lecture Series,Thalia Mara,City Event,1002.0000,444
266,2016,Ardenland,Robert Plant Concert,Thalia Mara,Concert,8640.0000,2098
267,2016,Innovation Arts and Entertainment,Joseph and The Amazing Technicolor,Thalia Mara,Musical,7648.0000,1827
268,2016,Mississippi Symphony,All City Rehearsal,Thalia Mara,Symphony,200.0000,200
269,2016,UMMC School of Medicine,Match Day Ceremony,Thalia Mara,Graduation,700.0000,1300
270,2016,Mississippi Symphony,Bravo V: Raise The Roof,Thalia Mara,Symphony,1150.0000,1200
271,2016,Ardenland,Widespread Panic Concert,Thalia Mara,Concert,17022.0000,4167
272,2016,Mississippi Opera,Carmen,Thalia Mara,Opera,3357.0000,1969
273,2016,University of Mississippi Foundation,Brian Wilson Concert,Thalia Mara,Concert,3708.0000,1801
274,2016,Innovation Arts and Entertainment,Celtic Woman,Thalia Mara,Concert,8718.0000,1838
275,2016,Belhaven College,Graduation,Thalia Mara,Graduation,1400.0000,4080
276,2016,Ardenland,Gregg Allman Concert,Thalia Mara,Concert,6705.0000,1493
277,2016,City of Jackson/Parks and Recreation,All City Dance Showcase,Thalia Mara,Dance,0.0000,60
278,2016,Xperience Jxn Entertainment,Floetry Concert,Thalia Mara,Concert,2004.0000,668
279,2016,Innovation Arts and Entertainment,Mamma Mia,Thalia Mara,Musical,8245.0000,1915
280,2016,Beverly's School of Dance,Beverly's School of Dance Recital,Thalia Mara,Dance,950.0000,500
281,2016,Jackson Prep High School,Graduation,Thalia Mara,Graduation,1250.0000,2040
282,2016,City of Jackson,Comedy Show,Thalia Mara,Comedy,117.0000,39
283,2016,Southern Classic Bodybuilders,Southern Classic Bodybuilders,Thalia Mara,Competition,1601.0000,600
284,2016,Ardenland,St. Paul and The Broken Bones Concert,Thalia Mara,Concert,3311.6700,662
285,2016,Ardenland,"Harry Connick, Jr. Concert",Thalia Mara,Concert,8586.0000,2051
286,2016,IBC,IBC's 2016 Grand Prix Reunion Gala,Thalia Mara,IBC,2662.4200,900
287,2016,General Missionary Baptist State Convention,General Missionary Baptist State Convention,Thalia Mara,Convention,700.0000,1850
288,2016,Flat 9 Entertainment,Capitol City Summer Comedy Jam,Thalia Mara,Comedy,1980.0000,247
289,2016,Mississippi Suymphony,JPS Children's Shows,Thalia Mara,Children's Show,400.0000,4000
290,2016,Ardenland,Band of Horses Concert,Thalia Mara,Concert,3064.0000,1124
291,2016,Mississippi Bar Association,Mississippi Bar Admission Cermony,Thalia Mara,Event,700.0000,1400
292,2016,City of Jackson,Mississippi Greek Weekend,Thalia Mara,City Event,630.0000,210
293,2016,City of Jackson,Showtime At The Apollo/Mississippi,Thalia Mara,City Event,292.0000,97
294,2016,Mississippi Symphony,Bravo I: Berlioz,Thalia Mara,Symphony,1150.0000,1300
295,2016,BankPlus,State of The Bank,Thalia Mara,Event,1200.0000,1000
296,2016,VA Health Care System,2016 National Veterans Creative,Thalia Mara,Convention,1300.0000,950
